school,max_score,batch,avg_score,years
清华大学,673,本科一批,643,2010
北京大学,665,本科一批,639,2010
北京大学医学部,650,本科一批,638,2010
上海交通大学,663,本科一批,631,2010
复旦大学,650,本科一批,626,2010
外交学院,625,本科提前批,623,2010
中国人民大学,642,本科一批,621,2010
中国科学技术大学,643,本科一批,620,2010
浙江大学,645,本科一批,619,2010
北京航空航天大学,658,本科一批,614,2010
南开大学,646,本科一批,610,2010
北京师范大学,613,本科提前批,609,2010
中央财经大学,653,本科一批,606,2010
首都经济贸易大学,620,本科一批,605,2010
哈尔滨工业大学,641,本科一批,604,2010
西安交通大学,629,本科一批,602,2010
天津大学,635,本科一批,602,2010
武汉大学,637,本科一批,602,2010
上海财经大学,636,本科一批,601,2010
厦门大学,637,本科一批,600,2010
清华大学,673,本科一批,643,2010
北京大学,665,本科一批,639,2010
北京大学医学部,650,本科一批,638,2010
上海交通大学,663,本科一批,631,2010
复旦大学,650,本科一批,626,2010
外交学院,625,本科提前批,623,2010
中国人民大学,642,本科一批,621,2010
中国科学技术大学,643,本科一批,620,2010
浙江大学,645,本科一批,619,2010
北京航空航天大学,658,本科一批,614,2010
南开大学,646,本科一批,610,2010
北京师范大学,613,本科提前批,609,2010
中央财经大学,653,本科一批,606,2010
首都经济贸易大学,620,本科一批,605,2010
哈尔滨工业大学,641,本科一批,604,2010
西安交通大学,629,本科一批,602,2010
天津大学,635,本科一批,602,2010
武汉大学,637,本科一批,602,2010
上海财经大学,636,本科一批,601,2010
厦门大学,637,本科一批,600,2010
对外经济贸易大学,629,本科一批,599,2010
北京师范大学,638,本科一批,599,2010
中国政法大学,628,本科一批,599,2010
中国青年政治学院,605,本科提前批,598,2010
南京大学,629,本科一批,597,2010
中南大学,628,本科提前批,596,2010
上海外国语大学,609,本科一批,593,2010
大连理工大学,631,本科一批,592,2010
北京邮电大学,626,本科一批,592,2010
北京理工大学,632,本科一批,591,2010
北京语言大学,606,本科一批,589,2010
同济大学,647,本科一批,589,2010
东南大学,644,本科一批,589,2010
首都医科大学,611,本科一批,588,2010
西北工业大学,620,本科一批,588,2010
中国传媒大学,588,本科提前批,588,2010
北京交通大学,646,本科一批,588,2010
上海海关学院,592,本科提前批,587,2010
西南财经大学,618,本科一批,587,2010
中山大学,633,本科一批,586,2010
中山大学,633,本科一批,586,2010
山东大学,626,本科一批,585,2010
南京航空航天大学,623,本科一批,585,2010
华北电力大学,631,本科一批,584,2010
北京科技大学,636,本科一批,584,2010
中南财经政法大学,601,本科一批,583,2010
华北电力大学(保定),633,本科一批,583,2010
华中科技大学,627,本科一批,582,2010
四川大学,624,本科一批,582,2010
南京理工大学,618,本科一批,581,2010
,626,本科一批,581,2010
华南理工大学,610,本科一批,580,2010
中国传媒大学,593,本科一批,580,2010
中国农业大学,610,本科一批,579,2010
天津财经大学,618,本科一批,579,2010
重庆大学,630,本科一批,579,2010
吉林大学,616,本科一批,577,2010
电子科技大学,611,本科一批,577,2010
南京审计大学,615,本科一批,577,2010
北京第二外国语学院,589,本科一批,576,2010
西南交通大学,616,本科一批,576,2010
北京第二外国语学院,589,本科一批,576,2010
北方工业大学,610,本科一批,576,2010
中南大学,613,本科一批,576,2010
西安电子科技大学,618,本科一批,575,2010
中央民族大学,608,本科一批,575,2010
哈尔滨工程大学,603,本科一批,573,2010
南京邮电大学,614,本科一批,573,2010
北京化工大学,613,本科一批,573,2010
湖南大学,604,本科一批,572,2010
中国石油大学(北京),601,本科一批,572,2010
华中师范大学,595,本科提前批,572,2010
武汉理工大学,610,本科一批,571,2010
河海大学,606,本科一批,571,2010
中国地质大学(北京),602,本科一批,570,2010
中国石油大学(华东),601,本科一批,570,2010
大连医科大学,595,本科一批,570,2010
哈尔滨工业大学(威海),608,本科一批,569,2010
西北大学,604,本科一批,569,2010
华东理工大学,596,本科一批,568,2010
西北政法大学,588,本科提前批,567,2010
山东大学威海分校,589,本科一批,567,2010
中国海洋大学,617,本科一批,567,2010
东北财经大学,613,本科一批,566,2010
苏州大学,587,本科一批,566,2010
中国矿业大学,609,本科一批,566,2010
北京林业大学,626,本科一批,565,2010
东华大学,592,本科一批,565,2010
华东政法大学,602,本科一批,565,2010
燕山大学,610,本科一批,565,2010
中国地质大学(武汉),599,本科一批,564,2010
北京工业大学,607,本科一批,564,2010
长安大学,594,本科一批,564,2010
东北大学,605,本科一批,564,2010
中国矿业大学(北京),610,本科一批,564,2010
合肥工业大学,605,本科一批,563,2010
河北工业大学,587,本科一批,563,2010
南京信息工程大学,589,本科一批,563,2010
大连海事大学,607,本科一批,563,2010
大连交通大学,592,本科一批,562,2010
大连交通大学,592,本科一批,562,2010
陕西师范大学,607,本科提前批,561,2010
中国人民武装警察部队学院,610,本科提前批,561,2010
北京第二外国语学院,599,本科提前批,561,2010
兰州大学,595,本科一批,561,2010
西安建筑科技大学,625,本科一批,561,2010
广东外语外贸大学,602,本科一批,561,2010
中国民航大学,617,本科一批,560,2010
天津外国语大学,604,本科一批,560,2010
深圳大学,581,本科一批,560,2010
安徽大学,584,本科一批,560,2010
中国药科大学,602,本科一批,560,2010
西南政法大学,586,本科一批,560,2010
中国医科大学,591,本科一批,559,2010
西安理工大学,593,本科一批,559,2010
东北师范大学,580,本科提前批,559,2010
山东大学,591,本科提前批,559,2010
上海对外经贸大学,584,本科一批,559,2010
,562,本科一批,559,2010
南方医科大学,595,本科一批,559,2010
南方医科大学,595,本科一批,559,2010
,562,本科一批,559,2010
江南大学,585,本科一批,558,2010
上海理工大学,617,本科一批,558,2010
华中师范大学,588,本科一批,558,2010
中国人民公安大学,598,本科提前批,557,2010
大连海事大学,597,本科提前批,557,2010
江西财经大学,578,本科一批,557,2010
上海大学,604,本科一批,557,2010
西北农林科技大学,585,本科一批,556,2010
天津中医药大学,579,本科一批,556,2010
陕西科技大学,607,本科一批,556,2010
杭州电子科技大学,578,本科一批,556,2010
南京师范大学,588,本科一批,556,2010
陕西师范大学,568,本科一批,556,2010
西南政法大学,565,本科提前批,555,2010
太原理工大学,615,本科一批,555,2010
上海电力学院,607,本科一批,555,2010
北京工商大学,617,本科一批,555,2010
